label,Sensor_1,Sensor_2
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.12,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.81,294.52
HAND_APPROACH,0.79,294.52
HAND_APPROACH,0.78,294.48
HAND_APPROACH,0.76,294.52
HAND_APPROACH,0.73,294.6
HAND_APPROACH,0.73,294.64
HAND_APPROACH,0.66,294.66
HAND_APPROACH,0.64,294.7
HAND_APPROACH,0.6,294.66
HAND_APPROACH,0.57,294.72
HAND_APPROACH,0.54,294.86
HAND_APPROACH,0.52,294.86
HAND_APPROACH,0.49,294.88
HAND_APPROACH,0.45,294.88
HAND_APPROACH,0.44,294.94
HAND_APPROACH,0.39,294.98
HAND_APPROACH,0.36,295.0
HAND_APPROACH,0.32,295.16
HAND_APPROACH,0.28,295.32
HAND_APPROACH,0.24,295.4
HAND_APPROACH,8.06,-1.0
HAND_APPROACH,0.17,295.62
HAND_APPROACH,0.17,295.84
HAND_APPROACH,0.15,296.02
HAND_APPROACH,0.12,296.18
HAND_APPROACH,0.13,296.38
HAND_APPROACH,0.11,296.5
HAND_APPROACH,0.09,297.06
HAND_APPROACH,0.06,297.36
HAND_APPROACH,0.05,297.54
HAND_APPROACH,0.05,297.86
HAND_APPROACH,0.06,297.98
HAND_APPROACH,0.03,298.22
HAND_APPROACH,0.03,298.52
HAND_APPROACH,0.06,298.4
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.96,294.3
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.9,294.42
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.83,294.6
HAND_APPROACH,0.92,294.58
HAND_APPROACH,0.89,294.6
HAND_APPROACH,0.79,294.66
HAND_APPROACH,0.77,294.66
HAND_APPROACH,0.8,294.66
HAND_APPROACH,0.7,294.66
HAND_APPROACH,0.69,294.72
HAND_APPROACH,0.63,294.66
HAND_APPROACH,0.6,294.72
HAND_APPROACH,0.57,294.82
HAND_APPROACH,0.56,294.82
HAND_APPROACH,0.51,294.82
HAND_APPROACH,0.51,294.92
HAND_APPROACH,0.45,294.98
HAND_APPROACH,0.39,294.98
HAND_APPROACH,0.36,295.06
HAND_APPROACH,0.31,295.1
HAND_APPROACH,0.27,295.26
HAND_APPROACH,0.24,295.34
HAND_APPROACH,0.23,295.4
HAND_APPROACH,0.18,295.58
HAND_APPROACH,0.17,295.78
HAND_APPROACH,0.14,295.92
HAND_APPROACH,0.1,296.24
HAND_APPROACH,0.1,296.5
HAND_APPROACH,0.08,296.78
HAND_APPROACH,0.05,297.06
HAND_APPROACH,0.05,297.6
HAND_APPROACH,0.04,297.92
HAND_APPROACH,0.03,298.08
HAND_APPROACH,0.02,298.22
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.9,294.48
HAND_APPROACH,0.92,294.48
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.84,294.6
HAND_APPROACH,0.76,294.64
HAND_APPROACH,0.73,294.64
HAND_APPROACH,0.73,294.7
HAND_APPROACH,0.7,294.7
HAND_APPROACH,0.68,294.72
HAND_APPROACH,0.59,294.82
HAND_APPROACH,0.62,294.86
HAND_APPROACH,0.51,294.88
HAND_APPROACH,0.5,294.94
HAND_APPROACH,0.46,294.94
HAND_APPROACH,0.42,294.98
HAND_APPROACH,0.37,295.04
HAND_APPROACH,0.36,295.1
HAND_APPROACH,0.28,295.16
HAND_APPROACH,0.26,295.44
HAND_APPROACH,0.22,295.46
HAND_APPROACH,0.19,295.68
HAND_APPROACH,0.17,295.8
HAND_APPROACH,0.16,295.98
HAND_APPROACH,0.15,295.98
HAND_APPROACH,0.1,296.3
HAND_APPROACH,0.09,296.68
HAND_APPROACH,0.07,297.06
HAND_APPROACH,0.05,297.3
HAND_APPROACH,0.05,297.44
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.12,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,0.93,294.54
HAND_APPROACH,0.91,294.52
HAND_APPROACH,0.84,294.58
HAND_APPROACH,0.76,294.64
HAND_APPROACH,0.7,294.72
HAND_APPROACH,0.66,294.72
HAND_APPROACH,0.65,294.76
HAND_APPROACH,0.6,294.86
HAND_APPROACH,0.56,294.86
HAND_APPROACH,0.53,294.94
HAND_APPROACH,0.5,294.94
HAND_APPROACH,0.43,294.98
HAND_APPROACH,0.4,294.98
HAND_APPROACH,0.36,295.1
HAND_APPROACH,0.33,295.1
HAND_APPROACH,0.3,295.06
HAND_APPROACH,0.3,295.32
HAND_APPROACH,0.25,295.38
HAND_APPROACH,0.19,295.62
HAND_APPROACH,0.17,295.8
HAND_APPROACH,0.16,296.14
HAND_APPROACH,0.16,296.36
HAND_APPROACH,0.29,296.56
HAND_APPROACH,0.09,296.8
HAND_APPROACH,0.06,297.06
HAND_APPROACH,0.05,297.3
HAND_APPROACH,0.03,297.56
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.12,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.12,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.13,-1.0
HAND_APPROACH,3.14,-1.0
HAND_APPROACH,3.13,-1.0
